landmark_id,name,pixel_x,pixel_y,normalized_x,normalized_y
1,l_brow_left,184,74,0.4135,0.2079
2,l_brow_mid,192,72,0.4315,0.2022
3,l_brow_right,200,72,0.4494,0.2022
4,r_brow_left,216,72,0.4854,0.2022
5,r_brow_mid,224,70,0.5034,0.1966
6,r_brow_right,233,72,0.5236,0.2022
7,l_eye_left,188,81,0.4225,0.2275
8,l_eye_mid,194,80,0.436,0.2247
9,l_eye_right,200,80,0.4494,0.2247
10,r_eye_left,217,79,0.4876,0.2219
11,r_eye_mid,223,79,0.5011,0.2219
12,r_eye_right,229,79,0.5146,0.2219
13,l_ear,179,100,0.4022,0.2809
14,nose_left,202,96,0.4539,0.2697
15,nose_mid,210,95,0.4719,0.2669
16,nose_right,217,96,0.4876,0.2697
17,r_ear,242,100,0.5438,0.2809
18,mouth_left,198,109,0.4449,0.3062
19,mouth_mid,211,108,0.4742,0.3034
20,mouth_right,222,107,0.4989,0.3006
21,chin,213,127,0.4787,0.3567
